18.07.2023 05:48:28: Voltage:5,46;MaxVoltage:5,46;MinVoltage:4,92;Ampere:15,2;MaxAmpere:15,2;MinAmpere:14,32;Temperature:6,29;MaxTemperature:6,29;MinTemperature:5,79
18.07.2023 05:48:30: Voltage:6,7;MaxVoltage:6,7;MinVoltage:4,92;Ampere:18,36;MaxAmpere:18,45;MinAmpere:14,32;Temperature:7,47;MaxTemperature:7,47;MinTemperature:5,79
18.07.2023 05:48:32: Voltage:7,84;MaxVoltage:7,84;MinVoltage:4,92;Ampere:21,32;MaxAmpere:21,5;MinAmpere:14,32;Temperature:8,39;MaxTemperature:8,44;MinTemperature:5,79
18.07.2023 05:48:34: Voltage:8,77;MaxVoltage:8,77;MinVoltage:4,92;Ampere:23,67;MaxAmpere:23,8;MinAmpere:14,32;Temperature:9,28;MaxTemperature:9,28;MinTemperature:5,79
18.07.2023 05:48:36: Voltage:9,46;MaxVoltage:9,48;MinVoltage:4,92;Ampere:25,28;MaxAmpere:25,34;MinAmpere:14,32;Temperature:9,77;MaxTemperature:9,77;MinTemperature:5,79
18.07.2023 05:48:38: Voltage:9,85;MaxVoltage:9,85;MinVoltage:4,92;Ampere:25,81;MaxAmpere:26,1;MinAmpere:14,32;Temperature:9,87;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:48:40: Voltage:9,89;MaxVoltage:9,89;MinVoltage:4,92;Ampere:25,7;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,62;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:48:42: Voltage:9,46;MaxVoltage:9,89;MinVoltage:4,92;Ampere:24,44;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,07;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:48:44: Voltage:8,92;MaxVoltage:9,89;MinVoltage:4,92;Ampere:22,75;MaxAmpere:26,13;MinAmpere:14,32;Temperature:8,28;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:48:46: Voltage:7,93;MaxVoltage:9,89;MinVoltage:4,92;Ampere:19,97;MaxAmpere:26,13;MinAmpere:14,32;Temperature:7,19;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:48:48: Voltage:6,87;MaxVoltage:9,89;MinVoltage:4,92;Ampere:16,87;MaxAmpere:26,13;MinAmpere:14,32;Temperature:5,96;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:48:50: Voltage:5,65;MaxVoltage:9,89;MinVoltage:4,92;Ampere:13,66;MaxAmpere:26,13;MinAmpere:13,66;Temperature:4,77;MaxTemperature:9,9;MinTemperature:4,72
18.07.2023 05:48:52: Voltage:4,32;MaxVoltage:9,89;MinVoltage:4,3;Ampere:10,34;MaxAmpere:26,13;MinAmpere:10,34;Temperature:3,49;MaxTemperature:9,9;MinTemperature:3,49
18.07.2023 05:48:54: Voltage:2,99;MaxVoltage:9,89;MinVoltage:2,99;Ampere:6,94;MaxAmpere:26,13;MinAmpere:6,94;Temperature:2,34;MaxTemperature:9,9;MinTemperature:2,25
18.07.2023 05:48:56: Voltage:1,96;MaxVoltage:9,89;MinVoltage:1,9;Ampere:4,19;MaxAmpere:26,13;MinAmpere:4,09;Temperature:1,3;MaxTemperature:9,9;MinTemperature:1,3
18.07.2023 05:48:58: Voltage:1,03;MaxVoltage:9,89;MinVoltage:0,96;Ampere:2,13;MaxAmpere:26,13;MinAmpere:2,13;Temperature:0,55;MaxTemperature:9,9;MinTemperature:0,55
18.07.2023 05:49:00: Voltage:0,42;MaxVoltage:9,89;MinVoltage:0,38;Ampere:0,9;MaxAmpere:26,13;MinAmpere:0,75;Temperature:0,14;MaxTemperature:9,9;MinTemperature:0,14
18.07.2023 05:49:02: Voltage:0,2;MaxVoltage:9,89;MinVoltage:0,11;Ampere:0,31;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,15;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:05: Voltage:0,26;MaxVoltage:9,89;MinVoltage:0,1;Ampere:1,04;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,47;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:07: Voltage:0,73;MaxVoltage:9,89;MinVoltage:0,1;Ampere:2,35;MaxAmpere:26,13;MinAmpere:0,22;Temperature:1,15;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:09: Voltage:1,4;MaxVoltage:9,89;MinVoltage:0,1;Ampere:4,65;MaxAmpere:26,13;MinAmpere:0,22;Temperature:2,1;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:11: Voltage:2,43;MaxVoltage:9,89;MinVoltage:0,1;Ampere:7,24;MaxAmpere:26,13;MinAmpere:0,22;Temperature:3,16;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:13: Voltage:3,54;MaxVoltage:9,89;MinVoltage:0,1;Ampere:10,52;MaxAmpere:26,13;MinAmpere:0,22;Temperature:4,37;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:15: Voltage:4,83;MaxVoltage:9,89;MinVoltage:0,1;Ampere:13,92;MaxAmpere:26,13;MinAmpere:0,22;Temperature:5,79;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:17: Voltage:6,11;MaxVoltage:9,89;MinVoltage:0,1;Ampere:17,48;MaxAmpere:26,13;MinAmpere:0,22;Temperature:6,93;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:19: Voltage:7,33;MaxVoltage:9,89;MinVoltage:0,1;Ampere:20,32;MaxAmpere:26,13;MinAmpere:0,22;Temperature:8,15;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:21: Voltage:8,5;MaxVoltage:9,89;MinVoltage:0,1;Ampere:22,98;MaxAmpere:26,13;MinAmpere:0,22;Temperature:8,99;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:23: Voltage:9,22;MaxVoltage:9,89;MinVoltage:0,1;Ampere:25,01;MaxAmpere:26,13;MinAmpere:0,22;Temperature:9,61;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:25: Voltage:9,71;MaxVoltage:9,89;MinVoltage:0,1;Ampere:25,74;MaxAmpere:26,13;MinAmpere:0,22;Temperature:9,87;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:49:27: Voltage:9,86;MaxVoltage:9,9;MinVoltage:0,1;Ampere:25,79;MaxAmpere:26,17;MinAmpere:0,22;Temperature:9,78;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:29: Voltage:9,64;MaxVoltage:9,9;MinVoltage:0,1;Ampere:25,15;MaxAmpere:26,17;MinAmpere:0,22;Temperature:9,31;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:31: Voltage:9,1;MaxVoltage:9,9;MinVoltage:0,1;Ampere:23,55;MaxAmpere:26,17;MinAmpere:0,22;Temperature:8,64;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:33: Voltage:8,34;MaxVoltage:9,9;MinVoltage:0,1;Ampere:20,79;MaxAmpere:26,17;MinAmpere:0,22;Temperature:7,54;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:35: Voltage:7,16;MaxVoltage:9,9;MinVoltage:0,1;Ampere:17,81;MaxAmpere:26,17;MinAmpere:0,22;Temperature:6,4;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:37: Voltage:6,06;MaxVoltage:9,9;MinVoltage:0,1;Ampere:14,82;MaxAmpere:26,17;MinAmpere:0,22;Temperature:5,21;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:39: Voltage:4,66;MaxVoltage:9,9;MinVoltage:0,1;Ampere:11,31;MaxAmpere:26,17;MinAmpere:0,22;Temperature:3,88;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:41: Voltage:3,41;MaxVoltage:9,9;MinVoltage:0,1;Ampere:7,91;MaxAmpere:26,17;MinAmpere:0,22;Temperature:2,67;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:43: Voltage:2,31;MaxVoltage:9,9;MinVoltage:0,1;Ampere:5,17;MaxAmpere:26,17;MinAmpere:0,22;Temperature:1,65;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:45: Voltage:1,35;MaxVoltage:9,9;MinVoltage:0,1;Ampere:2,68;MaxAmpere:26,17;MinAmpere:0,22;Temperature:0,81;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:47: Voltage:0,67;MaxVoltage:9,9;MinVoltage:0,1;Ampere:0,98;MaxAmpere:26,17;MinAmpere:0,22;Temperature:0,33;MaxTemperature:9,91;MinTemperature:0,09
18.07.2023 05:49:49: Voltage:0,21;MaxVoltage:9,9;MinVoltage:0,1;Ampere:0,53;MaxAmpere:26,17;MinAmpere:0,22;Temperature:0,12;MaxTemperature:9,91;MinTemperature:0,07
18.07.2023 05:49:51: Voltage:0,2;MaxVoltage:9,9;MinVoltage:0,08;Ampere:0,57;MaxAmpere:26,17;MinAmpere:0,22;Temperature:0,34;MaxTemperature:9,91;MinTemperature:0,07
