18.07.2023 04:54:56: Voltage:5,45;MaxVoltage:5,46;MinVoltage:4,92;Ampere:15,28;MaxAmpere:15,28;MinAmpere:14,32;Temperature:6,31;MaxTemperature:6,31;MinTemperature:5,79
18.07.2023 04:54:58: Voltage:6,72;MaxVoltage:6,72;MinVoltage:4,92;Ampere:18,78;MaxAmpere:18,78;MinAmpere:14,32;Temperature:7,5;MaxTemperature:7,5;MinTemperature:5,79
18.07.2023 04:55:00: Voltage:7,89;MaxVoltage:7,89;MinVoltage:4,92;Ampere:21,4;MaxAmpere:21,68;MinAmpere:14,32;Temperature:8,53;MaxTemperature:8,53;MinTemperature:5,79
18.07.2023 04:55:02: Voltage:8,85;MaxVoltage:8,85;MinVoltage:4,92;Ampere:23,81;MaxAmpere:23,81;MinAmpere:14,32;Temperature:9,26;MaxTemperature:9,28;MinTemperature:5,79
18.07.2023 04:55:04: Voltage:9,43;MaxVoltage:9,49;MinVoltage:4,92;Ampere:25,24;MaxAmpere:25,34;MinAmpere:14,32;Temperature:9,73;MaxTemperature:9,77;MinTemperature:5,79
18.07.2023 04:55:06: Voltage:9,77;MaxVoltage:9,85;MinVoltage:4,92;Ampere:26;MaxAmpere:26,12;MinAmpere:14,32;Temperature:9,79;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:55:08: Voltage:9,77;MaxVoltage:9,89;MinVoltage:4,92;Ampere:25,6;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,67;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:55:10: Voltage:9,38;MaxVoltage:9,89;MinVoltage:4,92;Ampere:24,62;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,04;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:55:12: Voltage:8,78;MaxVoltage:9,89;MinVoltage:4,92;Ampere:22,44;MaxAmpere:26,13;MinAmpere:14,32;Temperature:8,18;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:55:14: Voltage:7,87;MaxVoltage:9,89;MinVoltage:4,92;Ampere:19,65;MaxAmpere:26,13;MinAmpere:14,32;Temperature:7,13;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:55:16: Voltage:6,72;MaxVoltage:9,89;MinVoltage:4,92;Ampere:16,63;MaxAmpere:26,13;MinAmpere:14,32;Temperature:5,83;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:55:18: Voltage:5,35;MaxVoltage:9,89;MinVoltage:4,92;Ampere:13,16;MaxAmpere:26,13;MinAmpere:12,93;Temperature:4,52;MaxTemperature:9,9;MinTemperature:4,47
18.07.2023 04:55:20: Voltage:4,05;MaxVoltage:9,89;MinVoltage:4,04;Ampere:9,53;MaxAmpere:26,13;MinAmpere:9,53;Temperature:3,28;MaxTemperature:9,9;MinTemperature:3,26
18.07.2023 04:55:22: Voltage:2,76;MaxVoltage:9,89;MinVoltage:2,76;Ampere:6,41;MaxAmpere:26,13;MinAmpere:6,41;Temperature:2,14;MaxTemperature:9,9;MinTemperature:2,11
18.07.2023 04:55:24: Voltage:1,71;MaxVoltage:9,89;MinVoltage:1,71;Ampere:3,8;MaxAmpere:26,13;MinAmpere:3,76;Temperature:1,2;MaxTemperature:9,9;MinTemperature:1,18
18.07.2023 04:55:26: Voltage:0,91;MaxVoltage:9,89;MinVoltage:0,91;Ampere:1,77;MaxAmpere:26,13;MinAmpere:1,73;Temperature:0,45;MaxTemperature:9,9;MinTemperature:0,45
18.07.2023 04:55:28: Voltage:0,31;MaxVoltage:9,89;MinVoltage:0,31;Ampere:0,53;MaxAmpere:26,13;MinAmpere:0,53;Temperature:0,21;MaxTemperature:9,9;MinTemperature:0,14
18.07.2023 04:55:30: Voltage:0,18;MaxVoltage:9,89;MinVoltage:0,1;Ampere:0,4;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,21;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:55:32: Voltage:0,31;MaxVoltage:9,89;MinVoltage:0,1;Ampere:1,17;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,51;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:55:34: Voltage:0,8;MaxVoltage:9,89;MinVoltage:0,1;Ampere:2,57;MaxAmpere:26,13;MinAmpere:0,22;Temperature:1,21;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:55:36: Voltage:1,56;MaxVoltage:9,89;MinVoltage:0,1;Ampere:4,89;MaxAmpere:26,13;MinAmpere:0,22;Temperature:2,2;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:55:38: Voltage:2,57;MaxVoltage:9,89;MinVoltage:0,1;Ampere:8,03;MaxAmpere:26,13;MinAmpere:0,22;Temperature:3,4;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:55:40: Voltage:3,86;MaxVoltage:9,89;MinVoltage:0,1;Ampere:11,06;MaxAmpere:26,13;MinAmpere:0,22;Temperature:4,66;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:55:42: Voltage:5,06;MaxVoltage:9,89;MinVoltage:0,1;Ampere:14,46;MaxAmpere:26,13;MinAmpere:0,22;Temperature:5,93;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:55:44: Voltage:6,51;MaxVoltage:9,89;MinVoltage:0,1;Ampere:17,87;MaxAmpere:26,13;MinAmpe18.07.2023 04:56:05: Voltage:5,46;MaxVoltage:5,46;MinVoltage:4,92;Ampere:15,2;MaxAmpere:15,2;MinAmpere:14,32;Temperature:6,29;MaxTemperature:6,29;MinTemperature:5,79
18.07.2023 04:56:07: Voltage:6,65;MaxVoltage:6,7;MinVoltage:4,92;Ampere:18,43;MaxAmpere:18,45;MinAmpere:14,32;Temperature:7,42;MaxTemperature:7,47;MinTemperature:5,79
18.07.2023 04:56:09: Voltage:7,76;MaxVoltage:7,84;MinVoltage:4,92;Ampere:21,68;MaxAmpere:21,68;MinAmpere:14,32;Temperature:8,48;MaxTemperature:8,48;MinTemperature:5,79
18.07.2023 04:56:11: Voltage:8,79;MaxVoltage:8,79;MinVoltage:4,92;Ampere:23,77;MaxAmpere:23,8;MinAmpere:14,32;Temperature:9,23;MaxTemperature:9,28;MinTemperature:5,79
18.07.2023 04:56:13: Voltage:9,49;MaxVoltage:9,49;MinVoltage:4,92;Ampere:25,14;MaxAmpere:25,34;MinAmpere:14,32;Temperature:9,66;MaxTemperature:9,77;MinTemperature:5,79
18.07.2023 04:56:15: Voltage:9,85;MaxVoltage:9,85;MinVoltage:4,92;Ampere:26,1;MaxAmpere:26,12;MinAmpere:14,32;Temperature:9,78;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:56:17: Voltage:9,87;MaxVoltage:9,89;MinVoltage:4,92;Ampere:25,85;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,64;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:56:19: Voltage:9,44;MaxVoltage:9,89;MinVoltage:4,92;Ampere:24,62;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,1;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:56:21: Voltage:8,83;MaxVoltage:9,89;MinVoltage:4,92;Ampere:22,47;MaxAmpere:26,13;MinAmpere:14,32;Temperature:8,21;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:56:23: Voltage:7,86;MaxVoltage:9,89;MinVoltage:4,92;Ampere:19,97;MaxAmpere:26,13;MinAmpere:14,32;Temperature:7,16;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:56:25: Voltage:6,77;MaxVoltage:9,89;MinVoltage:4,92;Ampere:16,55;MaxAmpere:26,13;MinAmpere:14,32;Temperature:5,93;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 04:56:27: Voltage:5,48;MaxVoltage:9,89;MinVoltage:4,92;Ampere:13,06;MaxAmpere:26,13;MinAmpere:13,06;Temperature:4,63;MaxTemperature:9,9;MinTemperature:4,63
18.07.2023 04:56:29: Voltage:4,13;MaxVoltage:9,89;MinVoltage:4,12;Ampere:9,64;MaxAmpere:26,13;MinAmpere:9,64;Temperature:3,28;MaxTemperature:9,9;MinTemperature:3,28
18.07.2023 04:56:31: Voltage:2,82;MaxVoltage:9,89;MinVoltage:2,82;Ampere:6,48;MaxAmpere:26,13;MinAmpere:6,48;Temperature:2,18;MaxTemperature:9,9;MinTemperature:2,11
18.07.2023 04:56:33: Voltage:1,83;MaxVoltage:9,89;MinVoltage:1,77;Ampere:3,76;MaxAmpere:26,13;MinAmpere:3,76;Temperature:1,2;MaxTemperature:9,9;MinTemperature:1,18
18.07.2023 04:56:35: Voltage:1;MaxVoltage:9,89;MinVoltage:0,96;Ampere:2,08;MaxAmpere:26,13;MinAmpere:1,91;Temperature:0,53;MaxTemperature:9,9;MinTemperature:0,52
18.07.2023 04:56:37: Voltage:0,42;MaxVoltage:9,89;MinVoltage:0,38;Ampere:0,57;MaxAmpere:26,13;MinAmpere:0,57;Temperature:0,24;MaxTemperature:9,9;MinTemperature:0,14
18.07.2023 04:56:39: Voltage:0,13;MaxVoltage:9,89;MinVoltage:0,1;Ampere:0,57;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,18;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:56:41: Voltage:0,31;MaxVoltage:9,89;MinVoltage:0,1;Ampere:1,08;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,57;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:56:43: Voltage:0,82;MaxVoltage:9,89;MinVoltage:0,1;Ampere:2,54;MaxAmpere:26,13;MinAmpere:0,22;Temperature:1,2;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:56:45: Voltage:1,55;MaxVoltage:9,89;MinVoltage:0,1;Ampere:4,77;MaxAmpere:26,13;MinAmpere:0,22;Temperature:2,12;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:56:47: Voltage:2,53;MaxVoltage:9,89;MinVoltage:0,1;Ampere:7,64;MaxAmpere:26,13;MinAmpere:0,22;Temperature:3,28;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:56:50: Voltage:3,7;MaxVoltage:9,89;MinVoltage:0,1;Ampere:10,85;MaxAmpere:26,13;MinAmpere:0,22;Temperature:4,63;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:56:52: Voltage:5,02;MaxVoltage:9,89;MinVoltage:0,1;Ampere:14,55;MaxAmpere:26,13;MinAmpere:0,22;Temperature:5,92;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 04:56:54: Voltage:6,32;MaxVoltage:9,89;MinVoltage:0,1;Ampere:17,66;MaxAmpere:26,13;MinAmp18.07.2023 05:00:34: Voltage:5,46;MaxVoltage:5,46;MinVoltage:4,92;Ampere:15,2;MaxAmpere:15,2;MinAmpere:14,32;Temperature:6,29;MaxTemperature:6,29;MinTemperature:5,79
18.07.2023 05:00:37: Voltage:6,65;MaxVoltage:6,7;MinVoltage:4,92;Ampere:18,43;MaxAmpere:18,45;MinAmpere:14,32;Temperature:7,42;MaxTemperature:7,47;MinTemperature:5,79
18.07.2023 05:00:39: Voltage:7,76;MaxVoltage:7,84;MinVoltage:4,92;Ampere:21,68;MaxAmpere:21,68;MinAmpere:14,32;Temperature:8,48;MaxTemperature:8,48;MinTemperature:5,79
18.07.2023 05:00:41: Voltage:8,79;MaxVoltage:8,79;MinVoltage:4,92;Ampere:23,77;MaxAmpere:23,8;MinAmpere:14,32;Temperature:9,23;MaxTemperature:9,28;MinTemperature:5,79
18.07.2023 05:00:43: Voltage:9,49;MaxVoltage:9,49;MinVoltage:4,92;Ampere:25,14;MaxAmpere:25,34;MinAmpere:14,32;Temperature:9,66;MaxTemperature:9,77;MinTemperature:5,79
18.07.2023 05:00:45: Voltage:9,85;MaxVoltage:9,85;MinVoltage:4,92;Ampere:26,1;MaxAmpere:26,12;MinAmpere:14,32;Temperature:9,78;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:00:47: Voltage:9,87;MaxVoltage:9,89;MinVoltage:4,92;Ampere:25,85;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,64;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:00:49: Voltage:9,44;MaxVoltage:9,89;MinVoltage:4,92;Ampere:24,62;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,1;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:00:51: Voltage:8,83;MaxVoltage:9,89;MinVoltage:4,92;Ampere:22,47;MaxAmpere:26,13;MinAmpere:14,32;Temperature:8,21;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:00:53: Voltage:7,86;MaxVoltage:9,89;MinVoltage:4,92;Ampere:19,97;MaxAmpere:26,13;MinAmpere:14,32;Temperature:7,16;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:00:55: Voltage:6,77;MaxVoltage:9,89;MinVoltage:4,92;Ampere:16,55;MaxAmpere:26,13;MinAmpere:14,32;Temperature:5,93;MaxTemperature:9,9;MinTemperature:5,79
18.07.2023 05:00:57: Voltage:5,48;MaxVoltage:9,89;MinVoltage:4,92;Ampere:13,06;MaxAmpere:26,13;MinAmpere:13,06;Temperature:4,63;MaxTemperature:9,9;MinTemperature:4,63
18.07.2023 05:00:59: Voltage:4,13;MaxVoltage:9,89;MinVoltage:4,12;Ampere:9,64;MaxAmpere:26,13;MinAmpere:9,64;Temperature:3,28;MaxTemperature:9,9;MinTemperature:3,28
18.07.2023 05:01:01: Voltage:2,82;MaxVoltage:9,89;MinVoltage:2,82;Ampere:6,48;MaxAmpere:26,13;MinAmpere:6,48;Temperature:2,18;MaxTemperature:9,9;MinTemperature:2,11
18.07.2023 05:01:03: Voltage:1,83;MaxVoltage:9,89;MinVoltage:1,77;Ampere:3,76;MaxAmpere:26,13;MinAmpere:3,76;Temperature:1,2;MaxTemperature:9,9;MinTemperature:1,18
18.07.2023 05:01:05: Voltage:1;MaxVoltage:9,89;MinVoltage:0,96;Ampere:2,08;MaxAmpere:26,13;MinAmpere:1,91;Temperature:0,53;MaxTemperature:9,9;MinTemperature:0,52
18.07.2023 05:01:07: Voltage:0,42;MaxVoltage:9,89;MinVoltage:0,38;Ampere:0,57;MaxAmpere:26,13;MinAmpere:0,57;Temperature:0,24;MaxTemperature:9,9;MinTemperature:0,14
18.07.2023 05:01:09: Voltage:0,13;MaxVoltage:9,89;MinVoltage:0,1;Ampere:0,57;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,18;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:01:11: Voltage:0,31;MaxVoltage:9,89;MinVoltage:0,1;Ampere:1,08;MaxAmpere:26,13;MinAmpere:0,22;Temperature:0,57;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:01:13: Voltage:0,82;MaxVoltage:9,89;MinVoltage:0,1;Ampere:2,54;MaxAmpere:26,13;MinAmpere:0,22;Temperature:1,2;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:01:15: Voltage:1,55;MaxVoltage:9,89;MinVoltage:0,1;Ampere:4,77;MaxAmpere:26,13;MinAmpere:0,22;Temperature:2,12;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:01:17: Voltage:2,53;MaxVoltage:9,89;MinVoltage:0,1;Ampere:7,64;MaxAmpere:26,13;MinAmpere:0,22;Temperature:3,28;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:01:19: Voltage:3,78;MaxVoltage:9,89;MinVoltage:0,1;Ampere:11,01;MaxAmpere:26,13;MinAmpere:0,22;Temperature:4,65;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:01:21: Voltage:5,16;MaxVoltage:9,89;MinVoltage:0,1;Ampere:14,66;MaxAmpere:26,13;MinAmpere:0,22;Temperature:5,9;MaxTemperature:9,9;MinTemperature:0,09
18.07.2023 05:01:23: Voltage:6,44;MaxVoltage:9,89;MinVoltage:0,1;Ampere:18,09;MaxAmpere:26,13;MinAmp18.07.2023 05:09:20: Voltage:0;MaxVoltage:0,01;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,01;MinTemperature:0
18.07.2023 05:09:22: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,04;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,01;MinTemperature:0
18.07.2023 05:09:24: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,01;MinTemperature:0
18.07.2023 05:09:26: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,04;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,01;MinTemperature:0
18.07.2023 05:09:28: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:30: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:32: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:34: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:36: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:38: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:41: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:43: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:45: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:47: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:49: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:51: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:53: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:55: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,04;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:57: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,04;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:09:59: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:01: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:03: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:05: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:07: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:09: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:11: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:13: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:15: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:17: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:19: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:21: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:23: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:25: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:27: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:29: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:31: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:33: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:35: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:37: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:39: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:41: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:43: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:45: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:47: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:49: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0,02;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:51: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:53: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0,03;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:55: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:57: Voltage:0;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:10:59: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:11:01: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0,01;MaxAmpere:0,04;MinAmpere:0;Temperature:0,01;MaxTemperature:0,02;MinTemperature:0
18.07.2023 05:11:03: Voltage:0,01;MaxVoltage:0,02;MinVoltage:0;Ampere:0;MaxAmpere:0,04;MinAmpere:0;Temperature:0;MaxTemperature:0,02;MinTemperature:0
