18.07.2023 04:54:55: Voltage:4,92;MaxVoltage:4,92;MinVoltage:4,92;Ampere:14,32;MaxAmpere:14,32;MinAmpere:14,32;Temperature:5,79;MaxTemperature:5,79;MinTemperature:5,79
18.07.2023 04:54:57: Voltage:6,24;MaxVoltage:6,3;MinVoltage:4,92;Ampere:17,61;MaxAmpere:17,61;MinAmpere:14,32;Temperature:7,03;MaxTemperature:7,04;MinTemperature:5,79
18.07.2023 04:54:59: Voltage:7,53;MaxVoltage:7,53;MinVoltage:4,92;Ampere:20,88;MaxAmpere:20,88;MinAmpere:14,32;Temperature:8,13;MaxTemperature:8,19;MinTemperature:5,79
18.07.2023 04:55:01: Voltage:8,59;MaxVoltage:8,59;MinVoltage:4,92;Ampere:23,38;MaxAmpere:23,38;MinAmpere:14,32;Temperature:9,09;MaxTemperature:9,09;MinTemperature:5,79
18.07.2023 04:55:03: Voltage:9,27;MaxVoltage:9,27;MinVoltage:4,92;Ampere:25,06;MaxAmpere:25,09;MinAmpere:14,32;Temperature:9,58;MaxTemperature:9,6;MinTemperature:5,79
18.07.2023 04:55:05: Voltage:9,73;MaxVoltage:9,77;MinVoltage:4,92;Ampere:25,7;MaxAmpere:25,95;MinAmpere:14,32;Temperature:9,89;MaxTemperature:9,89;MinTemperature:5,79
18.07.2023 04:55:07: Voltage:9,88;MaxVoltage:9,91;MinVoltage:4,92;Ampere:25,96;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,7;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 04:55:09: Voltage:9,66;MaxVoltage:9,91;MinVoltage:4,92;Ampere:24,97;MaxAmpere:26,13;MinAmpere:14,32;Temperature:9,23;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 04:55:11: Voltage:9,04;MaxVoltage:9,91;MinVoltage:4,92;Ampere:23,11;MaxAmpere:26,13;MinAmpere:14,32;Temperature:8,54;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 04:55:13: Voltage:8,18;MaxVoltage:9,91;MinVoltage:4,92;Ampere:20,5;MaxAmpere:26,13;MinAmpere:14,32;Temperature:7,44;MaxTemperature:9,91;MinTemperature:5,79
18.07.2023 04:55:15: Voltage:6,99;MaxVoltage:9,91;MinVoltage:4,92;Ampere:17,76;MaxAmpere:26,13;MinAmpere:14,32;Temperature:6,22;MaxTemperature:9,91;MinTemperature:5,79
